dis_mid,raw_kdp_abs_diff,reg_kdp_abs_diff,kdp_lsf_abs_diff
0.11249999999999999,,,
0.1875,,,
0.2625,,,
0.3375,,,
0.4125,,,
0.48750000000000004,,,
0.5625,,,
0.6375,,,
0.7125,,,
0.7875,,,
0.8625,,,
0.9375,,,
1.0125,,,
1.0875,,44.13796296296301,
1.1625,,0.0,
1.2374999999999998,,44.137962962962995,
1.3125,,2.842170943040401e-14,
1.3875000000000002,0.0,1.4210854715202004e-14,
1.4625,0.0,0.0,
1.5375,0.0,0.0,
1.6124999999999998,0.0,1.4210854715202004e-14,1.891626984126984
1.6875,0.0,2.842170943040401e-14,2.2068981481481478
1.7625000000000002,0.0,1.4210854715202004e-14,0.0
1.8375,0.0,0.0,2.8925045851662587e-15
1.9125,0.0,0.0,2.8925045851662587e-15
1.9874999999999998,0.0,1.4210854715202004e-14,8.946008396230348e-16
2.0625,0.0,0.0,3.422435468521888e-15
2.1375,0.0,2.842170943040401e-14,1.81415922470387e-15
2.2125,0.0,1.4210854715202004e-14,8.170539827012856e-17
2.2875,0.0,1.4210854715202004e-14,7.658982849453268e-17
2.3625,0.0,2.842170943040401e-14,2.3445818566763917e-15
2.4375,0.0,2.842170943040401e-14,1.4699709875049366e-15
2.5125,0.0,2.842170943040401e-14,2.812330490271692e-15
2.5875,0.0,1.4210854715202004e-14,1.5077594672349687e-15
2.6625,0.0,1.4210854715202004e-14,5.9868438038721405e-16
2.7375,0.10000000000000003,2.842170943040401e-14,3.373226390928874e-15
2.8125,0.0,2.842170943040401e-14,0.0
2.8875,0.0,2.842170943040401e-14,0.0
2.9625,0.0,1.4210854715202004e-14,0.0
3.0375,0.0,1.4210854715202004e-14,0.0
3.1125,0.0,2.842170943040401e-14,5.793596417678725e-16
3.1875,0.0,2.842170943040401e-14,3.948819647119021e-15
3.2625,0.0,2.842170943040401e-14,3.421614229100955e-15
3.3375,0.0,1.4210854715202004e-14,0.0464351851851776
3.4125,0.0,1.4210854715202004e-14,0.0398015873015919
3.4875,0.0,2.842170943040401e-14,0.0552096560846506
3.5625,0.0,2.842170943040401e-14,0.04542724867725009
3.6375,0.0,2.842170943040401e-14,0.0356448412698481
3.7125,0.0,1.4210854715202004e-14,0.025862433862434697
3.7875,0.0,0.9287037037037038,0.016080026455016994
3.8625,0.0,2.842170943040401e-14,0.006297619047622105
3.9375,0.0,0.4878703703703309,0.0034847883597934892
4.0125,0.10000000000000003,2.842170943040401e-14,0.013267195767191875
4.0875,0.0,0.4408333333333161,0.02304960317459903
4.1625,0.0,0.0,0.0328320105820141
4.237500000000001,0.0,0.0,0.042614417989413705
