dis,phi,reg_phi,kdp,reg_kdp
1.0875,29.13,18.87,-136.80000000000007,0.0
1.1625,8.61,18.87,376.9333333333336,88.27592592592602
1.2374999999999998,65.15,32.1113888888889,-244.73333333333352,0.0
1.3125,28.44,32.1113888888889,26.199999999999914,0.0
1.3875,32.37,32.1113888888889,-28.066666666666748,0.0
1.4625,28.16,32.1113888888889,-10.999999999999964,0.0
1.5375,26.51,32.1113888888889,28.46666666666668,0.0
1.6124999999999998,30.78,32.1113888888889,0.46666666666666884,0.0
1.6875,30.85,32.1113888888889,-6.3333333333333375,0.0
1.7625,29.9,32.1113888888889,-15.200000000000038,0.0
1.8375,27.62,32.1113888888889,16.999999999999964,0.0
1.9125,30.17,32.1113888888889,7.333333333333323,0.0
1.9874999999999998,31.27,32.1113888888889,19.666666666666675,0.0
2.0625,34.22,32.1113888888889,-0.40000000000001423,0.0
2.1375,34.16,32.1113888888889,-7.9333333333333,0.0
2.2125000000000004,32.97,32.1113888888889,-11.133333333333361,0.0
2.2875,31.3,32.1113888888889,-2.2000000000000073,0.0
2.3625,30.97,32.1113888888889,-4.0,0.0
2.4375,30.37,32.1113888888889,12.733333333333304,0.0
2.5125,32.28,32.1113888888889,-1.1999999999999953,0.0
2.5875000000000004,32.1,32.1113888888889,-5.266666666666703,0.0
2.6625,31.31,32.1113888888889,-7.866666666666646,0.0
2.7375,30.13,32.1113888888889,10.333333333333375,0.0
2.8125,31.68,32.1113888888889,6.066666666666677,0.0
2.8875,32.59,32.1113888888889,-22.66666666666663,0.0
2.9625000000000004,29.19,32.1113888888889,34.60000000000013,0.0
3.0375,34.38,32.1113888888889,2.33333333333329,0.0
3.1125,34.73,32.1113888888889,-26.3333333333334,0.0
3.1875,30.78,32.1113888888889,-2.066666666666677,0.0
3.2625,30.47,32.1113888888889,16.333333333333314,0.0
3.3375000000000004,32.92,32.1113888888889,-9.200000000000049,0.0
3.4125,31.54,32.1113888888889,6.066666666666677,0.0
3.4875,32.45,32.1113888888889,-23.26666666666676,0.0
3.5625,28.96,32.1113888888889,19.666666666666615,0.0
3.6375,31.91,32.1113888888889,3.5333333333333297,0.0
3.7125,32.44,32.1113888888889,-10.866666666666635,0.0
3.7875,30.81,32.1113888888889,-4.533333333333321,0.0
3.8625,30.13,32.1113888888889,21.93333333333343,1.8574074074073668
3.9375,33.42,32.39,-13.733333333333317,0.0
4.0125,31.36,32.39,24.933333333333437,0.8816666666666637
4.0875,35.1,32.52225,-1.0666666666666889,0.0
4.1625,34.94,32.52225,-13.799999999999969,0.0
4.237500000000001,32.87,32.52225,0.8000000000000285,0.0
4.3125,32.99,32.52225,0.2666666666666635,0.0
4.387499999999999,33.03,32.52225,2.13333333333333,0.0
4.4625,33.35,32.52225,-2.266666666666684,0.0
4.5375,33.01,32.52225,14.733333333333304,0.0
4.612500000000001,35.22,32.52225,-23.19999999999995,0.0
4.6875,31.74,32.52225,7.266666666666735,0.0
4.762499999999999,32.83,32.52225,-0.9333333333333349,0.0
4.8375,32.69,32.52225,22.266666666666637,0.0
4.9125,36.03,32.52225,-21.79999999999997,0.0
4.987500000000001,32.76,32.52225,0.06666666666670061,0.0
5.0625,32.77,32.52225,2.866666666666692,0.0
5.137499999999999,33.2,32.52225,-6.466666666666691,0.0
5.2125,32.23,32.52225,4.866666666666681,0.0
5.2875,32.96,32.52225,5.79999999999997,0.0
5.362500000000001,33.83,32.52225,-32.86666666666659,0.0
5.4375,28.9,32.52225,17.200000000000177,0.0
5.512499999999999,31.48,32.52225,-1.4000000000000024,0.0
5.5875,31.27,32.52225,5.533333333333332,0.0
5.6625,32.1,32.52225,5.933333333333323,0.0
5.737500000000001,32.99,32.52225,4.133333333333306,0.0
5.8125,33.61,32.52225,-22.86666666666688,0.0
5.887499999999999,30.18,32.52225,27.8666666666666,0.0
5.9625,34.36,32.52225,-19.86666666666662,0.0
6.0375,31.38,32.52225,12.599999999999998,0.0
6.112500000000001,33.27,32.52225,-5.86666666666667,0.0
6.1875,32.39,32.52225,-4.000000000000047,0.0
6.262499999999999,31.79,32.52225,1.8666666666666698,0.0
6.3375,32.07,32.52225,-7.133333333333319,0.0
6.4125,31.0,32.52225,17.73333333333327,0.0
6.487500000000001,33.66,32.52225,-19.799999999999923,0.0
6.5625,30.69,32.52225,10.533333333333445,0.0
6.637499999999999,32.27,32.52225,-6.733333333333328,0.0
6.7125,31.26,32.52225,4.799999999999981,0.0
6.7875,31.98,32.52225,-15.399999999999954,0.0
6.862500000000001,29.67,32.52225,13.999999999999952,0.0
6.9375,31.77,32.52225,-3.4666666666666965,0.0
7.012499999999999,31.25,32.52225,19.39999999999993,1.1016666666666663
7.0875,34.16,32.6875,-11.733333333333292,0.0
7.1625,32.4,32.6875,-5.199999999999972,0.0
7.237499999999999,31.62,32.6875,6.333333333333464,0.0
7.312499999999999,32.57,32.6875,26.533333333332937,5.097619047618947
7.387499999999999,36.55,33.45214285714285,-23.266666666666577,0.0
7.4625,33.06,33.45214285714285,10.533333333333298,0.0
7.5375,34.64,33.45214285714285,-8.866666666666635,0.0
7.612499999999999,33.31,33.45214285714285,6.733333333333464,0.0
7.687499999999999,34.32,33.45214285714285,-5.466666666666591,0.0
7.762499999999999,33.5,33.45214285714285,-2.8000000000000047,0.0
7.8375,33.08,33.45214285714285,-2.666666666666651,0.0
7.9125,32.68,33.45214285714285,4.866666666666634,0.0
7.987499999999999,33.41,33.45214285714285,14.733333333333652,0.0
8.0625,35.62,33.45214285714285,-18.133333333333066,0.0
8.1375,32.9,33.45214285714285,-8.600000000000076,0.0
8.212499999999999,31.61,33.45214285714285,-4.333333333333365,0.0
8.287499999999998,30.96,33.45214285714285,11.533333333333148,0.0
8.362499999999999,32.69,33.45214285714285,16.00000000000019,9.952380952381077
8.4375,35.09,34.945,8.199999999999863,0.0
8.5125,36.32,34.945,-9.800000000000086,0.0
8.587499999999999,34.85,34.945,-8.86666666666674,0.0
8.662499999999998,33.52,34.945,15.333333333333096,5.322222222222138
8.737499999999999,35.82,35.74333333333333,6.800000000000085,0.0
8.8125,36.84,35.74333333333333,1.7999999999999479,0.0
8.8875,37.11,35.74333333333333,-24.200000000000248,0.0
8.962499999999999,33.48,35.74333333333333,17.00000000000019,0.0
9.037499999999998,36.03,35.74333333333333,-5.666666666666596,0.0
9.1125,35.18,35.74333333333333,7.266666666666586,3.511111111111089
9.1875,36.27,36.27,1.2000000000000095,0.8666666666666919
9.2625,36.45,36.400000000000006,-0.6666666666666666,0.0
9.337499999999999,36.35,36.400000000000006,16.866666666667232,7.955555555555737
9.412499999999998,38.88,37.59333333333333,-1.3333333333333333,0.0
9.4875,38.68,37.59333333333333,-23.066666666666343,0.0
9.5625,35.22,37.59333333333333,27.06666666666694,11.244444444444603
9.6375,39.28,39.28,10.533333333333172,10.533333333333172
9.712499999999999,40.86,40.86,20.866666666667374,5.73333333333352
9.787499999999998,43.99,41.72,-24.86666666666634,0.0
9.8625,40.26,41.72,4.333333333333262,0.0
9.9375,40.91,41.72,39.4000000000004,16.74285714285732
10.0125,46.82,44.23142857142857,-15.333333333333096,0.0
10.087499999999999,44.52,44.23142857142857,-13.200000000000465,0.0
10.162499999999998,42.54,44.23142857142857,13.066666666666487,0.0
10.2375,44.5,44.23142857142857,1.666666666666643,0.0
10.3125,44.75,44.23142857142857,-14.266666666666806,0.0
10.3875,42.61,44.23142857142857,8.466666666666567,0.0
10.462499999999999,43.88,44.23142857142857,14.800000000000484,12.45714285714327
10.537499999999998,46.1,46.1,11.799999999999805,6.16666666666656
10.6125,47.87,47.025,-11.266666666666492,0.0
10.6875,46.18,47.025,17.533333333333516,7.166666666666753
10.7625,48.81,48.1,4.19999999999991,0.0
10.837499999999999,49.44,48.1,-22.600000000000755,0.0
10.912499999999998,46.05,48.1,22.59999999999968,8.933333333333183
10.9875,49.44,49.44,1.9333333333333003,1.9333333333333003
11.0625,49.73,49.73,5.46666666666672,2.316666666666713
11.1375,50.55,50.0775,1.3999999999999857,0.0
11.212499999999999,50.76,50.0775,-3.333333333333444,0.0
11.287499999999998,50.26,50.0775,-10.133333333333162,0.0
11.3625,48.74,50.0775,56.93333333333252,21.224999999999675
11.4375,57.28,53.26125,-42.33333333333374,0.0
11.5125,50.93,53.26125,28.46666666666628,0.0
11.587499999999999,55.2,53.26125,-0.6000000000000426,0.0
11.662499999999998,55.11,53.26125,-39.06666666666611,0.0
11.7375,49.25,53.26125,21.66666666666636,0.0
11.8125,52.5,53.26125,9.200000000000104,0.0
11.8875,53.88,53.26125,-12.933333333333183,0.0
11.962499999999999,51.94,53.26125,13.666666666667147,4.858333333333529
12.037499999999998,53.99,53.99,13.13333333333314,8.233333333333212
12.1125,55.96,55.225,-9.799999999999853,0.0
12.1875,54.49,55.225,22.400000000000208,1.150000000000007
12.2625,57.85,55.3975,-19.79999999999971,0.0
12.337499999999999,54.88,55.3975,-2.200000000000109,0.0
12.412499999999998,54.55,55.3975,-1.5999999999999432,0.0
12.4875,54.31,55.3975,14.266666666666469,7.0166666666665805
12.5625,56.45,56.45,15.000000000000142,4.933333333333346
12.6375,58.7,57.19,-7.5333333333332435,0.0
12.712499999999999,57.57,57.19,-15.133333333333855,0.0
12.787499999999998,55.3,57.19,23.99999999999967,2.407407407407394
