radial_idx	distance	zh	rho	zdr	phi	sd_zdr	sd_phi	zh_qc	rho_qc	zdr_qc	phi_qc	phi_reg	kdp_lsf
147.0000	3.7500	26.5000	0.9900	0.9375	30.8100	0.1617	1.3760	26.5000	0.9900	0.9375	30.8100	31.8855	0.2434
147.0000	3.8250	29.0000	0.9950	0.8750	30.1300	0.1250	1.5563	29.0000	0.9950	0.8750	30.1300	31.8855	0.2176
147.0000	3.9000	24.5000	0.9850	0.8125	33.4200	0.1198	1.8231	24.5000	0.9850	0.8125	33.4200	32.3900	0.1990
147.0000	3.9750	27.5000	0.9900	0.5625	31.3600	0.1244	1.8239	27.5000	0.9900	0.5625	31.3600	32.3900	0.1794
147.0000	4.0500	28.0000	0.9900	0.6875	35.1000	0.1520	1.6600	28.0000	0.9900	0.6875	35.1000	32.5222	0.1588
147.0000	4.1250	28.5000	0.9850	0.8750	34.9400	0.1781	1.1957	28.5000	0.9850	0.8750	34.9400	32.5222	0.1373
147.0000	4.2000	28.5000	0.9700	0.6875	32.8700	0.2191	1.1957	28.5000	0.9700	0.6875	32.8700	32.5222	0.1190
147.0000	4.2750	33.0000	0.9900	1.0625	32.9900	0.1968	0.9012	33.0000	0.9900	1.0625	32.9900	32.5222	0.1119
147.0000	4.3500	33.0000	0.9900	1.0625	33.0300	0.2109	0.9300	33.0000	0.9900	1.0625	33.0300	32.5222	0.1101
147.0000	4.4250	31.0000	0.9850	1.1875	33.3500	0.3727	0.9597	31.0000	0.9850	1.1875	33.3500	32.5222	0.1080
147.0000	4.5000	34.0000	0.9950	0.6875	33.0100	0.3405	0.9616	34.0000	0.9950	0.6875	33.0100	32.5222	0.1056
147.0000	4.5750	32.0000	0.9900	1.2500	35.2200	0.3398	0.9751	32.0000	0.9900	1.2500	35.2200	32.5222	0.1030
147.0000	4.6500	31.5000	0.9900	1.8750	31.7400	0.3809	1.4043	31.5000	0.9900	1.8750	31.7400	32.5222	0.1001
147.0000	4.7250	30.0000	0.9900	0.9375	32.8300	0.4084	1.4314	30.0000	0.9900	0.9375	32.8300	32.5222	0.0969
147.0000	4.8000	27.5000	0.9900	1.2500	32.6900	0.3801	1.4448	27.5000	0.9900	1.2500	32.6900	32.5222	0.0953
147.0000	4.8750	26.5000	0.9850	0.6875	36.0300	0.3888	1.2476	26.5000	0.9850	0.6875	36.0300	32.5222	0.0933
147.0000	4.9500	29.0000	0.9950	0.6875	32.7600	0.1972	1.1786	29.0000	0.9950	0.6875	32.7600	32.5222	0.0910
147.0000	5.0250	27.0000	0.9900	1.1250	32.7700	0.1972	1.1734	27.0000	0.9900	1.1250	32.7700	32.5222	0.0884
147.0000	5.1000	25.5000	0.9850	0.8125	33.2000	0.1406	1.1656	25.5000	0.9850	0.8125	33.2000	32.5222	0.0854
147.0000	5.1750	29.0000	0.9900	0.8750	32.2300	0.1330	1.4900	29.0000	0.9900	0.8750	32.2300	32.5222	0.0861
147.0000	5.2500	31.5000	0.9950	0.8750	32.9600	0.1269	1.5104	31.5000	0.9950	0.8750	32.9600	32.5222	0.0864
147.0000	5.3250	28.0000	0.9950	0.7500	33.8300	0.0809	1.5201	28.0000	0.9950	0.7500	33.8300	32.5222	0.0876
147.0000	5.4000	24.5000	0.9900	0.7500	28.9000	0.1108	1.4408	24.5000	0.9900	0.7500	28.9000	32.5222	0.0885
147.0000	5.4750	25.0000	0.9900	1.0000	31.4800	0.1727	1.4949	25.0000	0.9900	1.0000	31.4800	32.5222	0.0889
147.0000	5.5500	26.5000	0.9900	0.8125	31.2700	0.1968	1.5739	26.5000	0.9900	0.8125	31.2700	32.5222	0.0888
147.0000	5.6250	23.0000	0.9850	0.6250	32.1000	0.2044	1.4923	23.0000	0.9850	0.6250	32.1000	32.5222	0.0884
147.0000	5.7000	24.5000	0.9800	1.1875	32.9900	0.2202	1.3470	24.5000	0.9800	1.1875	32.9900	32.5222	0.0875
147.0000	5.7750	19.5000	0.9850	1.1250	33.6100	0.2158	1.3560	19.5000	0.9850	1.1250	33.6100	32.5222	0.0862
147.0000	5.8500	25.0000	0.9950	0.6875	30.1800	0.2216	1.3256	25.0000	0.9950	0.6875	30.1800	32.5222	0.0844
147.0000	5.9250	28.5000	0.9950	0.6250	34.3600	0.2216	1.3152	28.5000	0.9950	0.6250	34.3600	32.5222	0.0822
147.0000	6.0000	26.0000	0.9950	0.7500	31.3800	0.1996	1.3309	26.0000	0.9950	0.7500	31.3800	32.5222	0.0796
147.0000	6.0750	26.0000	0.9800	0.6875	33.2700	0.1996	1.2412	26.0000	0.9800	0.6875	33.2700	32.5222	0.0766
147.0000	6.1500	27.5000	0.9950	1.0625	32.3900	0.1890	1.0716	27.5000	0.9950	1.0625	32.3900	32.5222	0.0927
