dis,phi,reg_phi,smt_kdp
1.050000,29.130000,18.870000,14.712654
1.125000,8.610000,18.870000,8.827593
1.200000,65.150000,32.111389,17.655185
1.275000,28.440000,32.111389,17.655185
1.350000,32.370000,32.111389,0.000000
1.425000,28.160000,32.111389,0.000000
1.500000,26.510000,32.111389,0.000000
1.575000,30.780000,32.111389,0.000000
1.650000,30.850000,32.111389,0.000000
1.725000,29.900000,32.111389,0.000000
1.800000,27.620000,32.111389,0.000000
1.875000,30.170000,32.111389,0.000000
1.950000,31.270000,32.111389,0.000000
2.025000,34.220000,32.111389,0.000000
2.100000,34.160000,32.111389,0.000000
2.175000,32.970000,32.111389,0.000000
2.250000,31.300000,32.111389,0.000000
2.325000,30.970000,32.111389,0.000000
2.400000,30.370000,32.111389,0.000000
2.475000,32.280000,32.111389,0.000000
2.550000,32.100000,32.111389,0.000000
2.625000,31.310000,32.111389,0.000000
2.700000,30.130000,32.111389,0.000000
2.775000,31.680000,32.111389,0.000000
2.850000,32.590000,32.111389,0.000000
2.925000,29.190000,32.111389,0.000000
3.000000,34.380000,32.111389,0.000000
3.075000,34.730000,32.111389,0.000000
3.150000,30.780000,32.111389,0.000000
3.225000,30.470000,32.111389,0.000000
3.300000,32.920000,32.111389,0.000000
3.375000,31.540000,32.111389,0.000000
3.450000,32.450000,32.111389,0.000000
3.525000,28.960000,32.111389,0.000000
3.600000,31.910000,32.111389,0.000000
3.675000,32.440000,32.111389,0.371481
3.750000,30.810000,32.111389,0.371481
3.825000,30.130000,32.111389,0.547815
3.900000,33.420000,32.390000,0.547815
3.975000,31.360000,32.390000,0.547815
4.050000,35.100000,32.522250,0.176333
4.125000,34.940000,32.522250,0.176333
4.200000,32.870000,32.522250,0.000000
4.275000,32.990000,32.522250,0.000000
4.350000,33.030000,32.522250,0.000000
4.425000,33.350000,32.522250,0.000000
4.500000,33.010000,32.522250,0.000000
4.575000,35.220000,32.522250,0.000000
4.650000,31.740000,32.522250,0.000000
4.725000,32.830000,32.522250,0.000000
4.800000,32.690000,32.522250,0.000000
4.875000,36.030000,32.522250,0.000000
4.950000,32.760000,32.522250,0.000000
5.025000,32.770000,32.522250,0.000000
5.100000,33.200000,32.522250,0.000000
5.175000,32.230000,32.522250,0.000000
5.250000,32.960000,32.522250,0.000000
5.325000,33.830000,32.522250,0.000000
5.400000,28.900000,32.522250,0.000000
5.475000,31.480000,32.522250,0.000000
5.550000,31.270000,32.522250,0.000000
5.625000,32.100000,32.522250,0.000000
5.700000,32.990000,32.522250,0.000000
5.775000,33.610000,32.522250,0.000000
5.850000,30.180000,32.522250,0.000000
5.925000,34.360000,32.522250,0.000000
6.000000,31.380000,32.522250,0.000000
6.075000,33.270000,32.522250,0.000000
6.150000,32.390000,32.522250,0.000000
6.225000,31.790000,32.522250,0.000000
6.300000,32.070000,32.522250,0.000000
6.375000,31.000000,32.522250,0.000000
6.450000,33.660000,32.522250,0.000000
6.525000,30.690000,32.522250,0.000000
6.600000,32.270000,32.522250,0.000000
6.675000,31.260000,32.522250,0.000000
6.750000,31.980000,32.522250,0.000000
6.825000,29.670000,32.522250,0.220333
6.900000,31.770000,32.522250,0.220333
6.975000,31.250000,32.522250,0.220333
7.050000,34.160000,32.687500,0.220333
7.125000,32.400000,32.687500,1.239857
7.200000,31.620000,32.687500,1.019524
7.275000,32.570000,32.687500,1.019524
7.350000,36.550000,33.452143,1.019524
7.425000,33.060000,33.452143,1.019524
7.500000,34.640000,33.452143,0.000000
7.575000,33.310000,33.452143,0.000000
7.650000,34.320000,33.452143,0.000000
7.725000,33.500000,33.452143,0.000000
7.800000,33.080000,33.452143,0.000000
7.875000,32.680000,33.452143,0.000000
7.950000,33.410000,33.452143,0.000000
8.025000,35.620000,33.452143,0.000000
8.100000,32.900000,33.452143,0.000000
8.175000,31.610000,33.452143,1.990476
8.250000,30.960000,33.452143,1.990476
8.325000,32.690000,33.452143,1.990476
8.400000,35.090000,34.945000,1.990476
8.475000,36.320000,34.945000,3.054921
8.550000,34.850000,34.945000,1.064444
8.625000,33.520000,34.945000,1.064444
8.700000,35.820000,35.743333,1.064444
8.775000,36.840000,35.743333,1.064444
8.850000,37.110000,35.743333,0.000000
8.925000,33.480000,35.743333,0.702222
9.000000,36.030000,35.743333,0.875556
9.075000,35.180000,35.743333,0.875556
9.150000,36.270000,36.270000,2.466667
9.225000,36.450000,36.400000,2.466667
9.300000,36.350000,36.400000,1.764444
9.375000,38.880000,37.593333,3.840000
