dis_mid,kdp_abs_diff,reg_kdp_abs_diff,kdp_lsf_abs_diff
1.125,513.7333333333337,88.27592592592602,
1.2,621.6666666666672,88.27592592592602,
1.275,270.93333333333345,0.0,
1.35,54.266666666666666,0.0,
1.4249999999999998,17.066666666666784,0.0,
1.5,39.46666666666664,0.0,
1.575,28.00000000000001,0.0,
1.65,6.800000000000006,0.0,1.8916269841269906
1.725,8.866666666666701,0.0,2.2068981481481456
1.7999999999999998,32.2,0.0,0.0
1.875,9.666666666666641,0.0,0.0
1.9500000000000002,12.333333333333352,0.0,9.110469906046034e-15
2.025,20.066666666666688,0.0,3.83808557815392e-15
2.1,7.533333333333285,0.0,5.272384327892114e-15
2.1750000000000003,3.2000000000000597,0.0,3.281805040291465e-15
2.25,8.933333333333351,0.0,3.281805040291465e-15
2.325,1.7999999999999918,0.0,0.0
2.4,16.733333333333306,0.0,0.0
2.475,13.9333333333333,0.0,1.448392756882124e-15
2.5500000000000003,4.066666666666707,0.0,1.448392756882124e-15
2.625,2.599999999999943,0.0,1.3680191694450017e-15
2.7,18.200000000000024,0.0,7.024870330329504e-16
2.775,4.2666666666666995,0.0,6.655321364120513e-16
2.85,28.733333333333306,0.0,0.0
2.9250000000000003,57.26666666666676,0.0,0.0
3.0,32.266666666666836,0.0,4.204061549514544e-15
3.075,28.66666666666669,0.0,3.0315305997912635e-15
3.15,24.266666666666723,0.0,5.999171737353035e-16
3.225,18.39999999999999,0.0,5.7261377598797705e-16
3.3000000000000003,25.53333333333336,0.0,0.0
3.375,15.266666666666724,0.0,0.0464351851851824
3.45,29.33333333333344,0.0,0.039801587301590696
3.525,42.93333333333337,0.0,0.055209656084654515
3.6,16.133333333333283,0.0,0.04542724867724468
3.675,14.399999999999965,0.0,0.03564484126984191
3.75,6.333333333333314,0.0,0.025862433862432505
3.825,26.46666666666675,1.8574074074073668,0.01608002645502732
3.9,35.66666666666674,1.8574074074073668,0.0062976190476220495
3.975,38.66666666666676,0.8816666666666637,0.003484788359789659
4.050000000000001,26.000000000000128,0.8816666666666637,0.013267195767201423
4.125,12.73333333333328,0.0,0.023049603174597283
4.2,14.599999999999998,0.0,0.032832010582011406
4.275,0.533333333333365,0.0,0.042614417989421505
4.35,1.8666666666666667,0.0,0.0523968253968205
4.425,4.400000000000015,0.0,0.0621792328042326
4.5,16.99999999999999,0.0,0.018892857142858502
4.575,37.93333333333325,0.0,0.02204166666666201
4.65,30.466666666666683,0.0,1.1524035200155304e-15
4.725,8.20000000000007,0.0,2.3427143680038373e-15
4.8,23.199999999999974,0.0,4.919203712301274e-15
4.875,44.066666666666606,0.0,3.801258505935828e-15
4.95,21.86666666666667,0.0,3.653943995890877e-15
5.025,2.7999999999999914,0.0,4.7718892022563225e-15
5.1,9.333333333333382,0.0,0.0
5.175,11.333333333333371,0.0,0.0
5.25,0.9333333333332883,0.0,0.0
5.325,38.66666666666656,0.0,1.3659846580327124e-15
5.4,50.06666666666676,0.0,1.3659846580327124e-15
5.475,18.60000000000018,0.0,1.6611809789291619e-15
5.55,6.9333333333333345,0.0,1.6611809789291619e-15
5.625,0.3999999999999906,0.0,0.0
5.7,1.8000000000000167,0.0,0.0
5.775,27.000000000000185,0.0,0.0
5.85,50.733333333333476,0.0,5.600533145081193e-15
5.925,47.73333333333322,0.0,5.600533145081193e-15
6.0,32.46666666666662,0.0,4.854928177220473e-15
6.075,18.46666666666667,0.0,4.854928177220473e-15
6.15,1.8666666666666227,0.0,4.145363986493856e-15
6.225,5.866666666666717,0.0,4.145363986493856e-15
6.3,8.999999999999988,0.0,5.203938584052249e-15
6.375,24.86666666666659,0.0,5.203938584052249e-15
6.45,37.53333333333319,0.0,2.5419596356937417e-15
6.525,30.333333333333364,0.0,0.027541666666666256
6.6,17.266666666666772,0.0,0.0236071428571387
6.675,11.53333333333331,0.0,0.019672619047622006
6.75,20.199999999999935,0.0,0.01573809523809619
6.825,29.399999999999906,0.0,0.1392440476190501
6.9,17.466666666666647,0.0,0.1171037414965945
6.975,22.866666666666628,1.1016666666666663,0.09496343537414681
7.05,31.133333333333223,1.1016666666666663,0.07282312925171003
7.125,6.53333333333332,0.0,0.05068282312924044
7.199999999999999,11.533333333333434,0.0,0.028542517006806767
7.274999999999999,20.199999999999473,5.097619047618947,0.0064022108843505565
7.35,49.799999999999514,5.097619047618947,0.01573809523809555
7.425,33.799999999999876,0.0,0.037878401360541436
7.5,19.399999999999935,0.0,0.06001870748299559
7.574999999999999,15.6000000000001,0.0,0.08215901360543743
7.649999999999999,12.200000000000056,0.0,0.07282312925170359
7.725,2.6666666666665866,0.0,0.09102891156462681
7.8,0.13333333333335373,0.0,0.10923469387754889
7.875,7.533333333333285,0.0,0.12136904761904749
7.949999999999999,9.866666666667019,0.0,0.21326530612245143
8.024999999999999,32.86666666666672,0.0,0.17772108843537276
8.1,9.533333333332987,0.0,0.14217687074830188
8.174999999999999,4.266666666666711,0.0,0.23968820861677997
8.249999999999998,15.866666666666514,0.0,0.18513605442177083
8.325,4.46666666666704,9.952380952381075,0.13058390022674993
8.399999999999999,7.800000000000326,9.952380952381075,0.07603174603174967
8.475,17.99999999999995,0.0,0.021479591836734535
8.549999999999999,0.933333333333346,0.0,0.033072562358268165
8.624999999999998,24.199999999999836,5.322222222222138,0.00015306122447444892
8.7,8.533333333333012,5.322222222222138,0.0452721088435295
8.774999999999999,5.000000000000137,0.0,0.11545918367347308
8.85,26.000000000000195,0.0,0.0132426303854829
8.924999999999999,41.200000000000436,0.0,0.0853571428571398
8.999999999999998,22.666666666666785,0.0,0.10039682539682526
9.075,12.93333333333318,3.511111111111089,0.3184523809523798
9.15,6.066666666666576,2.644444444444397,0.47857142857143375
9.225,1.866666666666676,0.8666666666666919,0.48107142857142193
9.3,17.5333333333339,7.955555555555737,0.4718253968253707
9.375,18.200000000000564,7.955555555555737,0.3295238095238324
9.45,21.73333333333301,0.0,0.6057936507936761
9.525,50.13333333333328,11.244444444444603,0.403696145124683
9.6,16.53333333333377,0.7111111111114319,0.2015986394557734
9.675,10.333333333334199,4.799999999999652,0.0004988662131175658
9.75,45.73333333333371,5.73333333333352,0.10227891156465407
9.825,29.1999999999996,0.0,0.2670748299319472
9.9,35.06666666666713,16.74285714285732,0.45353741496598765
9.975,54.73333333333349,16.74285714285732,0.10126984126983496
10.05,2.133333333332631,0.0,0.14964285714286207
10.125,26.266666666666953,0.0,0.37420634920634566
10.2,11.399999999999846,0.0,0.09833333333333805
10.275,15.933333333333449,0.0,0.007380952380947825
10.35,22.733333333333373,0.0,0.015952380952387823
10.425,6.333333333333917,12.45714285714327,0.05547619047618424
10.5,3.0000000000006803,6.290476190476709,0.08000000000000762
10.575,23.066666666666293,6.16666666666656,0.26556972789118305
10.65,28.800000000000008,7.166666666666753,0.1263775510204037
10.725,13.333333333333606,7.166666666666753,0.012814625850355643
10.8,26.800000000000665,0.0,0.15200680272107547
10.875,45.200000000000436,8.933333333333183,0.2394260204081422
10.95,20.66666666666638,6.999999999999882,0.02443027210885118
11.025,3.5333333333334194,0.3833333333334126,0.19056547619049224
11.1,4.066666666666734,2.316666666666713,0.04964285714285044
11.175,4.73333333333343,0.0,0.0439583333333089
11.25,6.799999999999718,0.0,0.19244047619050164
11.325,67.06666666666568,21.224999999999675,0.13616071428569665
11.4,99.26666666666625,21.224999999999675,0.25904761904762985
11.475,70.80000000000003,0.0,0.2604761904761759
11.55,29.066666666666325,0.0,0.060357142857140555
11.625,38.466666666666065,0.0,0.022142857142865235
11.7,60.73333333333247,0.0,0.058035714285703754
11.775,12.466666666666255,0.0,0.1847023809523809
11.85,22.13333333333329,0.0,0.31136904761904627
11.925,26.600000000000332,4.858333333333529,0.4380357142857285
12.0,0.5333333333340082,3.374999999999683,0.21714285714286974
12.075,22.93333333333299,8.233333333333212,0.2645535714285696
12.15,32.20000000000006,1.150000000000007,0.17101190476192452
12.225,42.19999999999992,1.150000000000007,0.0774702380952248
12.3,17.5999999999996,0.0,0.04411375661374439
12.375,0.6000000000001657,0.0,0.05802579365078442
12.45,15.866666666666411,7.0166666666665805,0.16016534391535608
12.525,0.7333333333336736,2.0833333333332344,0.2623048941798858
12.6,22.533333333333385,4.933333333333346,0.22563492063492463
12.675,7.600000000000613,0.0,0.0751851851851848
12.75,39.133333333333525,2.407407407407394,0.13056878306878095
12.825,23.59999999999966,2.407407407407394,0.15309523809524284
12.9,6.600000000000066,0.0,0.2043716931216898
12.975,7.6666666666664005,0.0,0.06333333333333668
13.05,28.33333333333357,0.0,0.033511904761911016
13.125,3.9333333333338913,0.0,0.0842857142857214
13.2,28.866666666666298,0.0,0.43476190476190113
13.275,20.399999999999736,0.0,0.3380952380952391
13.35,23.199999999999648,0.0,0.2942063492063529
13.425,68.66666666666788,12.7592592592597,0.2587830687830488
13.5,70.93333333333453,12.7592592592597,0.16317460317462773
13.575,35.66666666666612,0.5666666666666169,0.15312169312169166
13.65,3.2666666666670476,10.766666666666843,0.439735449735438
13.725,23.93333333333343,11.33333333333346,0.275555555555536
13.8,18.86666666666693,2.111111111111156,0.11137566137567045
13.875,0.600000000000465,2.111111111111156,0.04197089947089694
13.95,42.06666666666609,0.0,0.2076984126983903
14.025,53.7999999999997,3.4222222222222687,0.3734259259259396
14.1,2.999999999999467,12.35555555555524,0.1746031746031722
14.175,21.3999999999995,15.777777777777509,0.2947619047619092
14.25,36.06666666666633,0.0,0.3987301587301648
14.325,79.13333333333225,0.4333333333334067,0.09229166666664868
14.4,78.06666666666712,0.4333333333334067,0.18434523809525527
14.475,29.200000000001175,0.0,0.21608134920633204
14.55,10.46666666666683,0.0,0.30059523809524946
14.625,13.333333333333517,0.0,0.3851091269841287
14.7,12.266666666666517,0.0,0.3718452380952325
14.775,9.73333333333389,4.030555555555623,0.006656746031748317
14.85,40.39999999999952,4.030555555555623,0.009285714285721891
14.925,37.73333333333277,0.0,0.20539682539683274
15.0,10.533333333333783,0.0,0.193888888888886
15.075,3.1999999999998865,0.0,0.20408730158730537
