dis,phdp,raw_kdp
19.95,68.4,0.3
20.025,68.18,0.3
20.1,66.99,0.3
20.175,68.13,0.3
20.25,69.81,0.3
20.325,68.56,0.3
20.4,67.97,0.3
20.475,70.24,0.3
20.55,67.95,0.3
20.625,67.87,0.3
20.7,67.31,0.3
20.775,68.49,0.3
20.85,68.85,0.3
20.925,69.54,0.3
21.0,67.03,0.3
21.075,73.18,0.3
21.15,68.05,0.3
21.225,67.94,0.3
21.3,69.45,0.3
21.375,70.61,0.3
21.45,67.28,0.3
21.525,71.1,0.3
21.6,70.48,0.3
21.675,70.36,0.3
21.75,69.33,0.4
21.825,72.07,0.4
21.9,70.62,0.4
21.975,70.13,0.4
22.05,70.18,0.4
22.125,67.71,0.4
22.2,68.13,0.4
22.275,70.17,0.4
22.35,69.64,0.4
22.425,69.89,0.4
22.5,68.79,0.4
22.575,65.68,0.4
22.65,69.28,0.4
22.725,68.75,0.4
22.8,67.64,0.4
22.875,68.72,0.4
22.95,70.78,0.4
23.025,69.86,0.4
23.1,70.56,0.4
23.175,66.54,0.4
23.25,68.2,0.4
23.325,68.35,0.4
23.4,67.02,0.4
23.475,69.66,0.3
23.55,70.71,0.3
23.625,69.37,0.3
23.7,70.03,0.3
23.775,70.83,0.3
23.85,69.67,0.3
23.925,69.14,0.3
24.0,69.86,0.3
24.075,69.09,0.3
24.15,69.74,0.3
24.225,72.48,0.3
24.3,71.84,0.3
24.375,71.39,0.3
24.45,70.35,0.3
24.525,70.14,0.2
24.6,74.09,0.2
24.675,73.62,0.2
24.75,70.98,0.2
24.825,71.6,0.2
24.9,68.99,0.2
24.975,70.71,0.2
25.05,73.38,0.2
25.125,74.16,0.2
25.2,73.73,0.2
25.275,71.6,0.2
25.35,71.55,0.2
25.425,74.32,0.2
25.5,72.73,0.2
25.575,69.94,0.1
25.65,73.29,0.1
25.725,74.75,0.1
25.8,75.71,0.1
25.875,73.84,0.1
25.95,75.04,0.1
26.025,71.92,0.1
26.1,73.04,0.1
26.175,75.94,0.1
26.25,70.47,0.1
26.325,71.87,0.1
26.4,68.9,0.1
26.475,73.74,0.1
26.55,69.83,0.1
26.625,71.22,0.1
26.7,76.18,0.1
26.775,75.62,0.1
26.85,73.02,0.1
26.925,74.78,0.1
27.0,72.93,0.1
27.075,71.29,0.1
27.15,75.05,0.1
27.225,75.64,0.1
27.3,73.79,0.1
27.375,72.68,0.1
27.45,78.12,0.1
27.525,78.61,NaN
27.6,67.18,NaN
27.675,340.73,NaN
27.75,71.29,NaN
27.825,77.15,NaN
27.9,68.54,NaN
27.975,75.52,NaN
28.05,84.52,0.1
28.125,49.56,0.1
28.2,67.3,0.1
28.275,66.65,0.1
28.35,73.48,0.1
28.425,71.3,0.1
28.5,70.77,0.1
28.575,73.18,0.1
28.65,71.59,0.1
28.725,62.01,0.1
28.8,76.36,0.1
28.875,78.07,0.1
28.95,71.44,0.1
29.025,72.58,0.1
29.1,68.24,0.1
29.175,65.29,0.1
29.25,68.17,0.1
29.325,82.31,0.1
29.4,70.6,0.1
29.475,96.94,NaN
29.55,45.0,NaN
29.625,76.44,NaN
29.7,86.62,NaN
29.775,78.41,0.1
29.85,58.33,0.1
29.925,73.39,0.1
30.0,78.05,0.1
30.075,63.84,0.1
30.15,66.81,0.1
30.225,84.31,0.1
30.3,71.57,0.1
30.375,63.77,0.1
30.45,71.47,0.1
30.525,68.58,0.1
30.6,71.26,0.1
30.675,76.48,0.1
30.75,79.03,0.1
30.825,77.3,0.1
30.9,71.82,0.1
30.975,67.22,0.1
31.05,75.23,0.1
31.125,77.21,0.1
31.2,58.15,0.1
31.275,70.01,0.1
31.35,69.08,0.1
31.425,70.51,0.1
31.5,77.42,0.1
31.575,80.33,0.1
31.65,79.44,0.1
31.725,74.5,0.1
31.8,70.38,0.1
31.875,76.14,0.1
31.95,74.8,0.1
32.025,78.12,0.1
32.1,69.66,0.1
32.175,86.55,0.1
32.25,58.34,0.1
32.325,85.87,0.1
32.4,78.64,0.1
32.475,72.12,0.1
32.55,71.88,0.1
32.625,82.3,0.1
32.7,60.4,0.1
32.775,49.67,NaN
32.85,75.82,NaN
32.925,75.52,NaN
33.0,70.7,NaN
33.075,89.4,NaN
33.15,79.82,NaN
33.225,106.84,NaN
33.3,71.65,NaN
33.375,69.12,NaN
33.45,92.14,NaN
33.525,82.19,NaN
33.6,64.98,NaN
33.675,72.56,NaN
33.75,67.76,NaN
33.825,69.71,NaN
33.9,77.86,NaN
33.975,80.99,NaN
34.05,72.71,NaN
34.125,80.28,NaN
34.2,70.42,NaN
34.275,87.03,NaN
34.35,79.43,NaN
34.425,57.04,NaN
34.5,73.65,NaN
34.575,71.8,NaN
34.65,69.2,NaN
34.725,72.62,NaN
34.8,87.29,NaN
34.875,81.07,NaN
34.95,NaN,NaN
35.025,NaN,NaN
35.1,NaN,NaN
35.175,NaN,NaN
35.25,NaN,NaN
35.325,NaN,NaN
35.4,NaN,NaN
35.475,NaN,NaN
35.55,53.39,NaN
35.625,83.74,NaN
35.7,78.17,NaN
35.775,62.89,NaN
35.85,53.14,NaN
35.925,81.9,NaN
36.0,NaN,NaN
36.075,60.89,NaN
36.15,76.05,NaN
36.225,NaN,NaN
36.3,NaN,NaN
36.375,NaN,NaN
36.45,NaN,NaN
36.525,NaN,NaN
36.6,NaN,NaN
36.675,NaN,NaN
36.75,NaN,NaN
36.825,NaN,NaN
36.9,68.23,NaN
36.975,52.59,NaN
37.05,NaN,NaN
37.125,NaN,NaN
37.2,NaN,NaN
37.275,NaN,NaN
37.35,NaN,NaN
37.425,NaN,NaN
37.5,NaN,NaN
37.575,NaN,NaN
37.65,NaN,NaN
37.725,NaN,NaN
37.8,NaN,NaN
37.875,NaN,NaN
37.95,NaN,NaN
38.025,NaN,NaN
38.1,NaN,NaN
38.175,NaN,NaN
38.25,NaN,NaN
38.325,NaN,NaN
38.4,NaN,NaN
38.475,NaN,NaN
38.55,NaN,NaN
38.625,NaN,NaN
38.7,NaN,NaN
38.775,NaN,NaN
38.85,NaN,NaN
38.925,NaN,NaN
39.0,NaN,NaN
39.075,NaN,NaN
39.15,NaN,NaN
39.225,NaN,NaN
39.3,NaN,NaN
39.375,NaN,NaN
39.45,NaN,NaN
39.525,NaN,NaN
39.6,NaN,NaN
39.675,NaN,NaN
39.75,NaN,NaN
39.825,NaN,NaN
39.9,NaN,NaN
39.975,NaN,NaN
40.05,NaN,NaN
40.125,NaN,NaN
40.2,NaN,NaN
40.275,NaN,NaN
40.35,NaN,NaN
40.425,NaN,NaN
40.5,NaN,NaN
40.575,NaN,NaN
40.65,NaN,NaN
40.725,NaN,NaN
40.8,64.54,NaN
40.875,59.99,NaN
40.95,NaN,NaN
41.025,NaN,NaN
41.1,NaN,NaN
41.175,NaN,NaN
41.25,79.07,NaN
41.325,65.62,NaN
41.4,64.19,0.1
41.475,74.75,0.1
41.55,64.79,0.1
41.625,80.92,0.1
41.7,74.65,0.1
41.775,74.34,0.1
41.85,67.33,0.1
41.925,60.63,0.1
42.0,75.13,0.1
42.075,74.72,0.1
42.15,67.08,0.1
42.225,84.81,0.1
42.3,64.08,NaN
42.375,78.03,NaN
42.45,73.98,NaN
42.525,NaN,NaN
42.6,NaN,NaN
42.675,62.77,NaN
42.75,79.69,NaN
42.825,105.73,NaN
42.9,NaN,NaN
42.975,NaN,NaN
43.05,NaN,NaN
43.125,80.08,NaN
43.2,74.62,NaN
43.275,NaN,NaN
43.35,NaN,NaN
43.425,NaN,NaN
43.5,NaN,NaN
43.575,NaN,NaN
43.65,NaN,NaN
43.725,NaN,NaN
43.8,NaN,NaN
43.875,NaN,NaN
43.95,NaN,NaN
44.025,NaN,NaN
44.1,76.46,NaN
44.175,68.58,NaN
44.25,64.3,NaN
44.325,NaN,NaN
44.4,NaN,NaN
44.475,NaN,NaN
44.55,80.1,NaN
44.625,66.11,NaN
44.7,77.58,NaN
44.775,77.14,NaN
44.85,72.2,NaN
44.925,71.74,NaN
45.0,68.11,NaN
45.075,59.34,NaN
45.15,77.07,NaN
45.225,52.37,NaN
45.3,86.34,NaN
45.375,78.72,NaN
45.45,69.74,NaN
45.525,77.68,NaN
45.6,71.7,NaN
45.675,69.54,NaN
45.75,97.18,NaN
45.825,86.47,NaN
45.9,73.15,NaN
45.975,54.14,NaN
46.05,66.51,NaN
46.125,63.68,NaN
46.2,51.46,NaN
46.275,68.72,NaN
46.35,65.73,NaN
46.425,70.43,NaN
46.5,69.0,NaN
46.575,68.64,NaN
46.65,85.34,NaN
46.725,64.52,NaN
46.8,76.42,NaN
46.875,65.95,NaN
46.95,76.56,NaN
47.025,74.98,NaN
47.1,77.28,NaN
47.175,82.11,NaN
47.25,81.88,NaN
47.325,61.02,NaN
47.4,64.18,NaN
47.475,84.73,NaN
47.55,69.04,NaN
47.625,83.31,NaN
47.7,65.31,NaN
47.775,71.02,NaN
47.85,77.45,0.1
47.925,68.96,0.1
48.0,63.08,NaN
48.075,85.23,NaN
48.15,72.07,NaN
48.225,65.07,NaN
48.3,NaN,NaN
48.375,NaN,NaN
48.45,NaN,NaN
48.525,85.34,NaN
48.6,95.78,NaN
48.675,73.49,NaN
48.75,83.14,NaN
48.825,83.31,NaN
48.9,56.07,NaN
48.975,65.92,0.1
49.05,62.18,0.1
49.125,62.19,0.1
49.2,74.07,0.1
49.275,64.18,0.1
49.35,70.52,0.1
49.425,68.9,0.1
49.5,68.88,0.1
49.575,69.63,0.1
49.65,71.89,0.1
49.725,65.33,0.1
49.8,69.89,0.1
49.875,62.82,0.1
49.95,73.57,0.1
50.025,71.8,0.1
50.1,66.99,0.1
50.175,76.02,0.1
50.25,67.43,0.1
50.325,62.91,0.1
50.4,73.71,0.1
50.475,72.1,0.1
50.55,69.04,0.1
50.625,71.65,0.1
50.7,70.1,0.1
50.775,71.1,0.1
50.85,73.79,0.1
50.925,75.15,0.1
51.0,71.0,0.1
51.075,75.29,0.1
51.15,70.93,0.1
51.225,70.38,0.1
51.3,77.95,0.1
51.375,74.53,0.1
51.45,77.98,0.1
51.525,77.38,NaN
51.6,57.24,NaN
51.675,NaN,NaN
51.75,108.74,NaN
51.825,68.3,NaN
51.9,114.4,NaN
51.975,84.86,NaN
52.05,NaN,NaN
52.125,NaN,NaN
52.2,NaN,NaN
52.275,NaN,NaN
52.35,NaN,NaN
52.425,NaN,NaN
52.5,NaN,NaN
52.575,NaN,NaN
52.65,NaN,NaN
52.725,NaN,NaN
52.8,67.65,NaN
52.875,79.99,NaN
52.95,66.78,NaN
53.025,71.33,0.1
53.1,71.28,0.1
53.175,67.13,0.1
53.25,68.48,0.1
53.325,74.68,0.1
53.4,77.3,0.1
53.475,76.7,0.1
53.55,72.44,0.1
53.625,70.63,0.1
53.7,77.51,0.1
53.775,72.94,0.1
53.85,73.51,0.1
53.925,72.5,0.1
54.0,79.29,NaN
54.075,67.21,NaN
54.15,NaN,NaN
54.225,NaN,NaN
54.3,NaN,NaN
54.375,NaN,NaN
54.45,NaN,NaN
54.525,NaN,NaN
54.6,NaN,NaN
54.675,NaN,NaN
54.75,NaN,NaN
54.825,NaN,NaN
54.9,NaN,NaN
54.975,NaN,NaN
55.05,NaN,NaN
55.125,NaN,NaN
55.2,NaN,NaN
55.275,69.58,0.1
55.35,72.7,0.1
55.425,70.55,0.1
55.5,71.35,0.1
55.575,66.86,0.1
55.65,72.66,0.1
55.725,73.75,0.1
55.8,75.65,0.1
55.875,74.17,0.1
55.95,69.68,0.1
56.025,81.66,0.1
56.1,75.09,0.1
56.175,80.06,0.1
56.25,72.35,0.1
56.325,78.01,0.1
56.4,83.04,0.1
56.475,81.47,0.1
56.55,92.05,NaN
56.625,NaN,NaN
56.7,NaN,NaN
56.775,NaN,NaN
56.85,NaN,NaN
56.925,NaN,NaN
57.0,45.41,NaN
57.075,85.63,NaN
57.15,70.42,NaN
57.225,73.96,0.1
57.3,77.69,0.1
57.375,66.96,0.1
57.45,60.95,0.1
57.525,NaN,NaN
57.6,NaN,NaN
57.675,NaN,NaN
57.75,NaN,NaN
57.825,NaN,NaN
57.9,NaN,NaN
57.975,NaN,NaN
58.05,NaN,NaN
58.125,NaN,NaN
58.2,NaN,NaN
58.275,NaN,NaN
58.35,NaN,NaN
58.425,NaN,NaN
58.5,NaN,NaN
58.575,NaN,NaN
58.65,NaN,NaN
58.725,NaN,NaN
58.8,NaN,NaN
58.875,NaN,NaN
58.95,NaN,NaN
59.025,NaN,NaN
59.1,NaN,NaN
59.175,NaN,NaN
59.25,NaN,NaN
59.325,NaN,NaN
59.4,NaN,NaN
59.475,NaN,NaN
59.55,NaN,NaN
59.625,NaN,NaN
59.7,NaN,NaN
59.775,NaN,NaN
59.85,NaN,NaN
59.925,NaN,NaN
60.0,NaN,0.1
60.075,NaN,0.1
60.15,NaN,0.1
60.225,NaN,NaN
60.3,NaN,NaN
60.375,NaN,NaN
60.45,NaN,NaN
60.525,NaN,NaN
60.6,NaN,NaN
60.675,NaN,NaN
60.75,NaN,NaN
60.825,NaN,NaN
60.9,NaN,NaN
60.975,NaN,NaN
61.05,NaN,NaN
61.125,NaN,NaN
