bin_center,raw_kdp_count,raw_kdp_frequency,reg_kdp_count,reg_kdp_frequency,kdp_lsf_count,kdp_lsf_frequency
-1,0,0.0,0,0.0,0,0.0
1,688,0.8664987405541562,913,0.8995073891625616,854,0.8531468531468531
3,92,0.11586901763224182,47,0.04630541871921182,116,0.11588411588411589
5,14,0.017632241813602016,55,0.054187192118226604,31,0.030969030969030968
