bin	dis	ZDR	SD_ZDR	PHIDP	SD_PHIDP
0	0.075000				
1	0.150000				
2	0.225000				
3	0.300000				
4	0.375000				
5	0.450000				
6	0.525000				
7	0.600000				
8	0.675000				
9	0.750000				
10	0.825000		0.000000		0.000000
11	0.900000		1.000000		10.260000
12	0.975000		1.684282		23.369692
13	1.050000	1.000000	1.481906	29.130000	20.397015
14	1.125000	-1.000000	1.336156	8.610000	18.244583
15	1.200000	3.125000	1.222617	65.150000	16.742184
16	1.275000	0.437500	1.142229	28.440000	15.617845
17	1.350000	1.312500	1.141112	32.370000	15.597327
18	1.425000	0.750000	0.878637	28.160000	12.602704
19	1.500000	0.500000	0.289043	26.510000	1.839252
20	1.575000	0.875000	0.456144	30.780000	1.931475
21	1.650000	0.562500	0.390210	30.850000	1.578421
22	1.725000	1.000000	0.398698	29.900000	1.674420
23	1.800000	-0.250000	0.396292	27.620000	1.818569
24	1.875000	0.875000	0.505234	30.170000	2.189925
25	1.950000	0.875000	0.516161	31.270000	2.269863
26	2.025000	0.750000	1.116250	34.220000	2.182461
27	2.100000	1.562500	1.082532	34.160000	1.502716
28	2.175000	1.187500	1.080173	32.970000	1.466229
29	2.250000	-2.000000	1.077734	31.300000	1.418499
30	2.325000	0.687500	1.100281	30.970000	1.189207
31	2.400000	0.812500	1.031163	30.370000	0.816943
32	2.475000	0.812500	0.995366	32.280000	0.744953
33	2.550000	1.187500	0.255363	32.100000	0.763258
34	2.625000	0.250000	0.260310	31.310000	0.876566
35	2.700000	0.750000	0.276930	30.130000	1.148003
36	2.775000	0.812500	0.281498	31.680000	1.559000
37	2.850000	0.937500	0.240243	32.590000	1.906264
38	2.925000	1.062500	0.139469	29.190000	1.942405
39	3.000000	0.687500	0.137163	34.380000	1.900698
40	3.075000	0.625000	0.140607	34.730000	1.922672
41	3.150000	0.875000	0.197239	30.780000	1.923564
42	3.225000	0.875000	0.175872	30.470000	1.543629
43	3.300000	0.937500	0.198849	32.920000	1.737155
44	3.375000	0.437500	0.198849	31.540000	1.242739
45	3.450000	0.937500	0.198849	32.450000	1.280599
46	3.525000	1.062500	0.203211	28.960000	1.245550
47	3.600000	0.625000	0.198849	31.910000	1.197064
48	3.675000	0.750000	0.132432	32.440000	1.435497
49	3.750000	0.937500	0.161703	30.810000	1.375998
50	3.825000	0.875000	0.125000	30.130000	1.556330
51	3.900000	0.812500	0.119789	33.420000	1.823114
52	3.975000	0.562500	0.124361	31.360000	1.823932
53	4.050000	0.687500	0.152048	35.100000	1.659963
54	4.125000	0.875000	0.178124	34.940000	1.195727
55	4.200000	0.687500	0.219069	32.870000	1.195703
56	4.275000	1.062500	0.196834	32.990000	0.901185
57	4.350000	1.062500	0.210911	33.030000	0.929992
58	4.425000	1.187500	0.372654	33.350000	0.959713
59	4.500000	0.687500	0.340458	33.010000	0.961616
60	4.575000	1.250000	0.339755	35.220000	0.975146
61	4.650000	1.875000	0.380906	31.740000	1.404327
62	4.725000	0.937500	0.408378	32.830000	1.431417
63	4.800000	1.250000	0.380068	32.690000	1.444802
64	4.875000	0.687500	0.388778	36.030000	1.247590
65	4.950000	0.687500	0.197239	32.760000	1.178593
66	5.025000	1.125000	0.197239	32.770000	1.173382
67	5.100000	0.812500	0.140607	33.200000	1.165623
68	5.175000	0.875000	0.133033	32.230000	1.489999
