bin	dis	ZDR	SD_ZDR	PHIDP	SD_PHIDP
125	9.450000	-2.000000	1.322393	34.890000	15.903484
126	9.525000	-0.375000	0.937628	16.000000	12.341927
127	9.600000	0.750000	0.967505	40.540000	12.113888
128	9.675000	-1.437500	1.068970	10.570000	10.121861
129	9.750000	-1.625000	1.676671	33.270000	9.819803
130	9.825000	-0.375000	1.661290	30.010000	23.629038
131	9.900000	0.937500	1.663017	33.850000	49.785054
132	9.975000	3.687500	1.900255	24.670000	110.708411
133	10.050000	0.062500	1.796086	91.560000	110.822830
134	10.125000	-0.375000	3.161193	162.590000	106.702663
135	10.200000	-2.812500	3.853731	350.000000	108.122210
136	10.275000	0.562500	3.841880	32.020000	101.941732
137	10.350000	7.812500	4.166975	109.660000	107.917378
138	10.425000	7.812500	4.091683	21.490000	111.105278
139	10.500000	0.937500	4.048396	120.750000	42.546692
140	10.575000	-2.812500	3.882173	23.490000	43.041898
141	10.650000	1.500000	3.666742	17.300000	34.775404
142	10.725000	7.812500	3.037788	15.170000	34.473903
143	10.800000	3.812500	3.024243	24.510000	12.847990
144	10.875000	0.312500	2.291009	34.140000	12.619424
145	10.950000	2.375000	2.241978	51.230000	12.005220
146	11.025000	1.250000	1.267480	45.300000	10.063087
147	11.100000	3.250000	1.578111	27.660000	9.369509
148	11.175000	4.062500	1.433585	21.910000	9.452661
149	11.250000	2.937500	1.515124	37.170000	11.689690
150	11.325000	-0.687500	1.889738	41.470000	10.124685
151	11.400000	2.187500	1.829159	32.580000	22.357493
152	11.475000	0.750000	1.628868	8.440000	23.356560
153	11.550000	-1.250000	1.541813	24.540000	25.581402
154	11.625000	2.687500	1.528697	84.650000	28.547167
155	11.700000		1.607545		32.796318
156	11.775000		1.968750		30.055000
157	11.850000		0.406250		2.845000
158	11.925000		0.125000		133.945000
159	12.000000		0.135015		136.001899
160	12.075000	1.875000	0.128847	90.340000	129.684363
161	12.150000	1.625000	0.894951	358.230000	122.847876
162	12.225000	1.937500	1.671380	52.790000	118.569826
163	12.300000	1.937500	1.555315	41.780000	111.432718
164	12.375000	4.062500	1.704024	34.630000	113.351820
165	12.450000	-1.625000	1.699105	12.240000	11.911463
166	12.525000	1.187500	1.687807	43.600000	10.326675
167	12.600000	-0.500000	1.766459	31.190000	11.045471
168	12.675000	1.437500	1.350017	42.010000	11.082529
169	12.750000	0.437500	1.084812	41.740000	7.864896
170	12.825000	2.687500	1.069269	20.730000	7.351035
171	12.900000	-0.562500	0.968163	28.170000	7.265836
172	12.975000	0.062500	0.934647	33.630000	7.433643
173	13.050000	0.875000	0.968163	40.010000	6.975198
174	13.125000	0.562500	0.583440	34.510000	4.637336
175	13.200000	0.437500	0.392248	43.080000	3.586294
176	13.275000	1.437500	0.430983	37.400000	3.430248
177	13.350000	0.687500	0.495355	32.190000	3.552953
178	13.425000	0.562500	0.562004	38.790000	4.659291
179	13.500000	1.625000	0.564692	40.370000	4.244410
180	13.575000	0.187500	0.555871	41.220000	4.241911
181	13.650000	1.625000	0.531231	29.200000	3.817566
182	13.725000	1.625000	0.602927	40.100000	3.812939
183	13.800000	1.312500	0.569332	36.910000	3.727327
184	13.875000	1.187500	0.523826	35.990000	3.684256
185	13.950000	0.187500	0.464114	38.690000	1.623295
186	14.025000	0.812500	0.371798	39.460000	1.545564
187	14.100000	0.437500	0.318689	40.920000	1.387216
188	14.175000	1.000000	0.263960	39.390000	0.633036
189	14.250000	0.937500	0.182545	39.160000	1.249671
190	14.325000	0.687500	0.182545	39.490000	1.297313
191	14.400000	0.687500	0.218340	39.440000	1.030395
192	14.475000	0.937500	0.258466	36.420000	1.032722
193	14.550000	0.812500	0.262445	38.090000	1.026019
194	14.625000	1.375000	0.260616	38.770000	1.056888
195	14.700000	0.500000	0.248721	37.710000	0.924611
196	14.775000	1.000000	0.328785	39.090000	1.051147
197	14.850000	1.062500	0.367267	36.820000	1.046789
198	14.925000	0.812500	0.282910	38.520000	1.390660
199	15.000000	0.312500	0.298807	35.910000	1.671453
200	15.075000	0.375000	0.277217	37.890000	1.577844
201	15.150000	0.875000	0.290693	40.500000	2.100264
202	15.225000	0.375000	0.275487	35.440000	2.337745
203	15.300000	0.812500	0.545740	37.470000	2.272662
204	15.375000	0.062500	0.567790	33.580000	2.283931
205	15.450000	0.250000	0.580563	40.200000	1.964039
206	15.525000	1.812500	0.552418	37.860000	3.790841
207	15.600000	1.250000	0.557446	38.260000	3.742427
208	15.675000	1.125000	0.436497	36.660000	4.018030
209	15.750000	0.875000	0.584804	27.880000	3.807611
210	15.825000	1.125000	0.568632	35.620000	6.380740
211	15.900000	0.875000	0.585213	40.950000	6.507528
212	15.975000	2.625000	0.684653	37.790000	6.676515
213	16.050000	1.000000	0.790469	50.920000	5.475274
214	16.125000	0.875000	0.921418	34.650000	5.326950
215	16.200000	2.250000	1.449292	42.430000	5.406171
216	16.275000	0.187500	1.241682	34.280000	6.316572
217	16.350000	-0.062500	1.220833	37.410000	5.744333
218	16.425000	-2.062500	1.180396	42.550000	5.478076
219	16.500000	-0.375000	0.959562	50.060000	95.830795
220	16.575000	-0.437500	1.368025	47.840000	97.446239
221	16.650000	-0.437500	1.975132	36.420000	98.442093
222	16.725000	-2.500000	4.049203	314.840000	94.734312
223	16.800000	-4.000000	4.080894	162.050000	87.214736
224	16.875000	-6.000000	4.588017	190.890000	75.077168
225	16.950000	7.812500	4.603802	183.240000	59.275866
226	17.025000	0.625000	4.857389	160.820000	62.170761
227	17.100000	5.250000	4.655169	171.700000	71.638655
228	17.175000	-1.062500	3.817254	289.620000	79.585187
229	17.250000	-4.875000	2.948863	60.000000	85.429866
230	17.325000	1.937500	2.996597	73.370000	86.394032
231	17.400000	1.687500	2.436175	51.580000	83.643707
232	17.475000	2.625000	2.380599	33.270000	11.979588
233	17.550000	-0.625000	1.027368	53.130000	13.389481
234	17.625000	1.750000	1.027368	45.570000	8.007910
235	17.700000	0.375000	1.016838	42.330000	9.953384
236	17.775000	0.687500	0.830405	30.010000	9.774641
237	17.850000	1.937500	0.662161	40.800000	8.255987
238	17.925000	0.750000	0.593599	20.840000	28.428657
239	18.000000	0.125000	0.678806	37.530000	31.513535
240	18.075000	0.312500	0.680449	28.200000	30.416574
241	18.150000	0.062500	0.841468	111.990000	30.505978
242	18.225000	1.625000	0.978809	83.840000	29.015642
243	18.300000	0.625000	1.124362	50.080000	28.706880
244	18.375000	-1.375000	1.151682	39.350000	26.582456
245	18.450000	1.750000	1.147104	32.160000	15.485397
246	18.525000	2.125000	1.270558	41.560000	9.032278
247	18.600000	-0.062500	1.329548	53.410000	9.554682
248	18.675000	0.125000	2.179120	45.370000	12.255456
249	18.750000	-1.375000	2.030381	25.690000	11.969770
250	18.825000	-1.000000	2.202735	53.350000	12.019959
251	18.900000	-4.937500	2.524876	19.840000	10.428780
252	18.975000	0.437500	2.667806	38.160000	112.233710
253	19.050000	2.937500	2.619619	35.440000	111.275386
254	19.125000	2.937500	2.547508	35.440000	111.803498
255	19.200000	2.312500	1.066133	354.180000	111.175573
256	19.275000	1.562500	1.426952	41.340000	112.299641
257	19.350000	1.562500	1.306076	41.340000	112.922794
258	19.425000	0.000000	1.151336	28.390000	111.871612
259	19.500000	-1.187500	1.019266	21.000000	20.257275
260	19.575000	0.625000	0.964616	25.310000	20.247491
261	19.650000	2.000000	0.874909	61.760000	20.272704
262	19.725000	0.500000	1.030235	81.790000	19.758523
263	19.800000	0.312500	0.877820	43.950000	21.379068
264	19.875000	0.125000	1.245464	47.430000	20.684062
265	19.950000	2.000000	1.153757	33.700000	22.921192
266	20.025000	2.375000	1.218284	12.550000	22.963043
