dis_mid,azimuth_deg,raw_kdp_abs_diff,reg_kdp_abs_diff,kdp_lsf_abs_diff
7.012499999999999,155.81999,NaN,0.0,4.209476662546737e-15
7.0875,155.81999,NaN,0.0,5.199088355905683e-16
7.1625,155.81999,NaN,0.0,1.5272985848269196e-15
7.237500000000001,155.81999,0.0,0.0,1.4958705676448931e-15
7.3125,155.81999,NaN,0.0,3.0231691524718127e-15
7.387499999999999,155.81999,NaN,0.0,0.0
7.4625,155.81999,NaN,0.0,0.0
7.5375,155.81999,NaN,0.0,0.0
7.612500000000001,155.81999,NaN,0.0,2.396039021316811e-15
7.6875,155.81999,NaN,0.0,2.322145604631606e-17
7.762499999999999,155.81999,NaN,0.0,2.372817565270495e-15
7.8375,155.81999,NaN,0.0,0.0
7.9125,155.81999,NaN,0.0,0.0
7.987500000000001,155.81999,NaN,0.0,0.0
8.0625,155.81999,NaN,0.0,0.0
8.1375,155.81999,NaN,0.0,4.48482920449456e-16
8.2125,155.81999,NaN,0.0,4.48482920449456e-16
8.2875,155.81999,NaN,0.0,0.0
8.3625,155.81999,NaN,0.0,0.0
8.4375,155.81999,NaN,0.0,4.326310175122544e-15
8.5125,155.81999,0.0,0.0,4.326310175122544e-15
8.5875,155.81999,0.0,0.0,0.0
8.6625,155.81999,0.0,0.0,0.0
8.7375,155.81999,NaN,0.0,4.178607111301671e-16
8.8125,155.81999,NaN,0.0,4.178607111301671e-16
8.8875,155.81999,NaN,0.0,0.0
8.9625,155.81999,NaN,0.0,2.4445673445621458e-15
9.0375,155.81999,NaN,0.0,2.4445673445621458e-15
9.1125,155.81999,NaN,0.0,0.0
9.1875,155.81999,NaN,0.0,0.0
9.2625,155.81999,NaN,0.0,1.9715062853691765e-15
9.3375,155.81999,NaN,0.0,1.9715062853691765e-15
9.4125,155.81999,NaN,0.0,4.656598997178111e-15
9.4875,155.81999,NaN,0.0,1.1916174341931052e-15
9.5625,155.81999,NaN,0.0,1.555013606187551e-15
9.6375,155.81999,NaN,0.0,1.909967956797455e-15
9.7125,155.81999,NaN,0.0,0.0
9.7875,155.81999,NaN,0.0,0.0
9.8625,155.81999,NaN,0.0,3.3338754826565582e-15
9.9375,155.81999,NaN,0.0,3.3338754826565582e-15
10.0125,155.81999,NaN,0.0,2.9192606339206907e-15
10.0875,155.81999,NaN,0.0,1.1082239532438652e-15
10.1625,155.81999,NaN,0.0,1.3302970736565636e-17
10.2375,155.81999,NaN,0.0,1.79773370994026e-15
10.3125,155.81999,NaN,0.0,0.0
10.3875,155.81999,NaN,0.0,1.4071772514101415e-15
10.4625,155.81999,NaN,0.0,4.53064897728799e-15
10.5375,155.81999,NaN,0.0,5.937826228698131e-15
10.6125,155.81999,NaN,0.0,0.0
10.6875,155.81999,NaN,0.0,0.0
10.7625,155.81999,NaN,0.0,0.0
10.8375,155.81999,NaN,0.0,3.0352544815299083e-15
10.9125,155.81999,NaN,0.0,3.0352544815299083e-15
10.9875,155.81999,NaN,0.0,1.3306641733392384e-15
11.0625,155.81999,NaN,0.0,1.64311780852427e-15
11.1375,155.81999,NaN,0.0,6.763504530862127e-16
11.2125,155.81999,NaN,0.0,2.2974315287772956e-15
11.2875,155.81999,NaN,0.0,1.2954440175089028e-15
11.3625,155.81999,0.0,0.0,3.302478206279599e-16
11.4375,155.81999,0.0,0.0,9.651961968809429e-16
11.5125,155.81999,0.0,0.0,1.9053422091814033e-15
11.5875,155.81999,0.0,0.0,1.5898323336390948e-15
11.6625,155.81999,0.0,0.0,3.132868370780986e-15
11.7375,155.81999,0.0,0.0,3.4483782463232942e-15
11.8125,155.81999,0.0,0.0,7.42856882741754e-15
11.8875,155.81999,0.0,0.0,7.42856882741754e-15
11.9625,155.81999,0.0,0.0,2.139602442820255e-15
12.0375,155.81999,0.0,0.0,2.139602442820255e-15
12.1125,155.81999,0.0,0.0,1.8113198485161973e-15
12.1875,155.81999,0.0,0.0,1.8113198485161973e-15
12.2625,155.81999,0.0,0.0,3.578491993165717e-15
12.3375,155.81999,0.0,0.0,2.985688815144611e-15
12.4125,155.81999,0.0,0.0,3.2372210675438453e-15
12.4875,155.81999,0.0,0.0,3.830024245564951e-15
12.5625,155.81999,0.0,0.0,5.566027189815245e-16
12.6375,155.81999,0.0,0.0,2.565296373874486e-16
12.7125,155.81999,0.0,0.0,8.131323563689731e-16
12.7875,155.81999,0.0,0.0,7.739746431045598e-16
12.8625,155.81999,NaN,0.0,7.739746431045598e-16
12.9375,155.81999,NaN,9.58955137519979e-15,2.4655096104787816e-16
13.0125,155.81999,NaN,NaN,NaN
13.0875,155.81999,NaN,NaN,NaN
13.1625,155.81999,NaN,NaN,NaN
13.2375,155.81999,NaN,NaN,NaN
13.3125,155.81999,NaN,NaN,NaN
13.3875,155.81999,NaN,NaN,NaN
13.4625,155.81999,NaN,NaN,NaN
13.5375,155.81999,NaN,NaN,NaN
13.6125,155.81999,NaN,NaN,NaN
13.6875,155.81999,NaN,NaN,NaN
13.7625,155.81999,NaN,NaN,NaN
13.8375,155.81999,NaN,NaN,NaN
13.9125,155.81999,NaN,NaN,NaN
13.9875,155.81999,NaN,NaN,NaN
14.0625,155.81999,NaN,NaN,NaN
14.1375,155.81999,NaN,NaN,NaN
14.2125,155.81999,NaN,NaN,NaN
14.2875,155.81999,NaN,NaN,NaN
14.3625,155.81999,NaN,NaN,NaN
14.4375,155.81999,NaN,NaN,NaN
14.5125,155.81999,NaN,NaN,NaN
14.5875,155.81999,NaN,NaN,NaN
14.6625,155.81999,NaN,NaN,NaN
14.7375,155.81999,NaN,NaN,NaN
14.8125,155.81999,NaN,NaN,NaN
14.8875,155.81999,NaN,NaN,NaN
14.9625,155.81999,NaN,NaN,NaN
15.0375,155.81999,NaN,NaN,NaN
15.1125,155.81999,NaN,NaN,NaN
15.1875,155.81999,NaN,NaN,NaN
15.2625,155.81999,NaN,NaN,NaN
15.3375,155.81999,NaN,NaN,NaN
15.4125,155.81999,NaN,NaN,NaN
15.4875,155.81999,NaN,NaN,NaN
15.5625,155.81999,NaN,NaN,NaN
15.6375,155.81999,NaN,NaN,NaN
15.7125,155.81999,NaN,NaN,NaN
15.7875,155.81999,NaN,NaN,NaN
15.8625,155.81999,NaN,NaN,NaN
15.9375,155.81999,NaN,NaN,NaN
16.0125,155.81999,NaN,NaN,NaN
16.0875,155.81999,NaN,NaN,NaN
16.1625,155.81999,NaN,NaN,NaN
16.237499999999997,155.81999,NaN,NaN,NaN
16.3125,155.81999,NaN,NaN,NaN
16.387500000000003,155.81999,NaN,NaN,NaN
16.4625,155.81999,NaN,NaN,NaN
16.5375,155.81999,NaN,NaN,NaN
16.612499999999997,155.81999,NaN,NaN,NaN
16.6875,155.81999,NaN,NaN,NaN
16.762500000000003,155.81999,NaN,NaN,NaN
16.8375,155.81999,NaN,0.0,2.3624242873459485e-16
16.9125,155.81999,NaN,0.0,2.3624242873459485e-16
16.987499999999997,155.81999,NaN,2.842170943040401e-14,0.0
17.0625,155.81999,NaN,5.684341886080802e-14,0.0
17.137500000000003,155.81999,NaN,2.842170943040401e-14,1.0938040878935268e-15
17.2125,155.81999,NaN,0.0,1.2703056069590593e-15
17.2875,155.81999,NaN,NaN,NaN
17.362499999999997,155.81999,NaN,NaN,NaN
17.4375,155.81999,NaN,2.842170943040401e-14,0.0
17.512500000000003,155.81999,NaN,2.842170943040401e-14,0.0
17.5875,155.81999,NaN,0.0,0.0
17.6625,155.81999,NaN,0.0,0.0
17.737499999999997,155.81999,NaN,2.842170943040401e-14,0.0
17.8125,155.81999,0.0,2.1316282072803006e-14,1.0258562361579383e-15
17.887500000000003,155.81999,NaN,NaN,NaN
