dis,phi,reg_phi,kdp,reg_kdp,kdp_lsf
1.0875,29.13,18.87,-136.80000000000007,0.0,
1.1625,8.61,18.87,376.9333333333336,88.27592592592602,
1.2374999999999998,65.15,32.1113888888889,-244.73333333333352,0.0,
1.3125,28.44,32.1113888888889,26.199999999999918,0.0,15.7635582010582
1.3875,32.37,32.1113888888889,-28.066666666666748,0.0,9.458134920634945
1.4625,28.16,32.1113888888889,-10.999999999999964,0.0,7.306896801139097e-15
1.5375,26.51,32.1113888888889,28.46666666666668,0.0,-1.2169340276220481e-14
1.6124999999999998,30.78,32.1113888888889,0.4666666666666688,0.0,-6.633312982894662e-15
1.6875,30.85,32.1113888888889,-6.3333333333333375,0.0,2.2193022291572864e-14
1.7625,29.9,32.1113888888889,-15.200000000000038,0.0,-4.554766975473988e-15
1.8375,27.62,32.1113888888889,16.999999999999964,0.0,-2.913409865508319e-15
1.9125,30.17,32.1113888888889,7.333333333333323,0.0,9.799549133785599e-15
1.9875,31.27,32.1113888888889,19.666666666666675,0.0,-9.431890062204588e-15
2.0625,34.22,32.1113888888889,-0.4000000000000142,0.0,9.09075065681951e-15
2.1375,34.16,32.1113888888889,-7.9333333333333,0.0,1.2533383347479352e-14
2.2125000000000004,32.97,32.1113888888889,-11.13333333333336,0.0,-4.8442002888571575e-15
2.2875,31.3,32.1113888888889,-2.2000000000000077,0.0,1.1715163851387397e-15
2.3625,30.97,32.1113888888889,-4.0,0.0,-1.1344771505168435e-15
2.4375,30.37,32.1113888888889,12.733333333333304,0.0,9.897335432390732e-15
2.5125,32.28,32.1113888888889,-1.1999999999999953,0.0,1.2803943953564438e-14
2.5875000000000004,32.1,32.1113888888889,-5.266666666666703,0.0,-8.289384456439393e-15
2.6625,31.31,32.1113888888889,-7.866666666666646,0.0,-1.7120339028559727e-14
2.7375,30.13,32.1113888888889,10.333333333333377,0.0,-8.816141879387566e-15
2.8125,31.68,32.1113888888889,6.066666666666677,0.0,-1.7163441389001706e-14
2.8875,32.59,32.1113888888889,-22.66666666666663,0.0,9.288251932126095e-15
2.9625000000000004,29.19,32.1113888888889,34.60000000000013,0.0,0.0
3.0375,34.38,32.1113888888889,2.33333333333329,0.0,6.1815022995874395e-15
3.1125,34.73,32.1113888888889,-26.3333333333334,0.0,2.585528500029582e-15
3.1875,30.78,32.1113888888889,-2.066666666666677,0.0,1.6832190511977119e-15
3.2625,30.47,32.1113888888889,16.333333333333314,0.0,0.0
3.3375000000000004,32.92,32.1113888888889,-9.200000000000047,0.0,1.2057936292459984e-14
3.4125,31.54,32.1113888888889,6.066666666666677,0.0,-6.2898365231796525e-15
3.4875,32.45,32.1113888888889,-23.26666666666676,0.0,-1.5387059324312303e-15
3.5625,28.96,32.1113888888889,19.66666666666661,0.0,-4.519110199425359e-15
3.6375,31.91,32.1113888888889,3.5333333333333297,0.0,2.2130462555304824e-15
3.7125,32.44,32.1113888888889,-10.866666666666635,0.0,0.19900793650792978
3.7875,30.81,32.1113888888889,-4.533333333333321,0.0,0.33167989417987875
3.8625,30.13,32.1113888888889,21.93333333333343,1.8574074074073668,0.4924801587301551
3.9375,33.42,32.39,-13.733333333333317,0.0,0.5554563492063563
4.0125,31.36,32.39,24.93333333333344,0.8816666666666637,0.5206084656084534
4.0875,35.1,32.52225,-1.0666666666666889,0.0,0.38793650793650375
4.1625,34.94,32.52225,-13.799999999999969,0.0,0.15744047619048246
4.237500000000001,32.87,32.52225,0.8000000000000285,0.0,0.09446428571429011
4.3125,32.99,32.52225,0.2666666666666635,0.0,-3.734227506518921e-15
4.387499999999999,33.03,32.52225,2.13333333333333,0.0,1.2234899090568676e-15
4.4625,33.35,32.52225,-2.266666666666684,0.0,1.8044256878532227e-15
4.5375,33.01,32.52225,14.733333333333304,0.0,-1.2422433108580432e-14
4.612500000000001,35.22,32.52225,-23.19999999999995,0.0,4.655488564588774e-15
4.6875,31.74,32.52225,7.266666666666735,0.0,-2.2905387819507838e-15
4.762499999999999,32.83,32.52225,-0.9333333333333348,0.0,-9.018013353107424e-15
4.8375,32.69,32.52225,22.26666666666664,0.0,1.6646877278486996e-15
4.9125,36.03,32.52225,-21.79999999999997,0.0,-2.1857286732907806e-15
4.987500000000001,32.76,32.52225,0.0666666666667006,0.0,7.535116758255099e-15
5.0625,32.77,32.52225,2.866666666666692,0.0,-2.651280018325705e-15
5.137499999999999,33.2,32.52225,-6.466666666666691,0.0,5.22521682219852e-16
5.2125,32.23,32.52225,4.866666666666681,0.0,-1.1330212318988868e-14
5.2875,32.96,32.52225,5.79999999999997,0.0,-7.107946523906663e-15
5.362500000000001,33.83,32.52225,-32.86666666666659,0.0,-3.50430647881123e-15
5.4375,28.9,32.52225,17.200000000000177,0.0,-8.393162841787184e-15
5.512499999999999,31.48,32.52225,-1.4000000000000024,0.0,4.3830292350181595e-15
5.5875,31.27,32.52225,5.533333333333332,0.0,0.0
5.6625,32.1,32.52225,5.933333333333323,0.0,-8.534010049891314e-15
5.737500000000001,32.99,32.52225,4.133333333333306,0.0,-7.954612670810742e-15
5.8125,33.61,32.52225,-22.86666666666688,0.0,-3.2331934614682533e-15
5.887499999999999,30.18,32.52225,27.8666666666666,0.0,5.472056869178381e-15
5.9625,34.36,32.52225,-19.86666666666662,0.0,-7.654632183890627e-15
6.0375,31.38,32.52225,12.599999999999998,0.0,5.336190079211262e-15
6.112500000000001,33.27,32.52225,-5.86666666666667,0.0,1.2298428343676768e-14
6.1875,32.39,32.52225,-4.000000000000047,0.0,7.376448494487952e-15
6.262499999999999,31.79,32.52225,1.8666666666666696,0.0,6.859443532250873e-15
6.3375,32.07,32.52225,-7.133333333333319,0.0,2.9655116784514996e-15
6.4125,31.0,32.52225,17.73333333333327,0.0,-3.768231100635252e-15
6.487500000000001,33.66,32.52225,-19.799999999999923,0.0,0.0
6.5625,30.69,32.52225,10.533333333333443,0.0,4.0912728948354186e-15
6.637499999999999,32.27,32.52225,-6.733333333333328,0.0,-3.64056079940942e-15
6.7125,31.26,32.52225,4.799999999999981,0.0,-3.99989395471293e-15
6.7875,31.98,32.52225,-15.399999999999954,0.0,7.515864061150736e-15
6.862500000000001,29.67,32.52225,13.999999999999952,0.0,0.11803571428571225
6.9375,31.77,32.52225,-3.4666666666666965,0.0,0.1967261904761897
7.012499999999999,31.25,32.52225,19.39999999999993,1.1016666666666663,0.23607142857143934
7.0875,34.16,32.6875,-11.733333333333292,0.0,0.2360714285714195
7.1625,32.4,32.6875,-5.199999999999972,0.0,0.7428996598639473
7.237499999999999,31.62,32.6875,6.333333333333464,0.0,1.028324829931965
7.312499999999999,32.57,32.6875,26.533333333332937,5.097619047618947,1.0923469387755078
7.387499999999999,36.55,33.45214285714285,-23.266666666666577,0.0,1.0923469387754852
7.4625,33.06,33.45214285714285,10.533333333333298,0.0,0.9102891156462501
7.5375,34.64,33.45214285714285,-8.866666666666635,0.0,0.5461734693877492
7.612499999999999,33.31,33.45214285714285,6.733333333333464,0.0,-2.469037146507248e-15
7.687499999999999,34.32,33.45214285714285,-5.466666666666591,0.0,-1.1526231475922873e-14
7.762499999999999,33.5,33.45214285714285,-2.8000000000000047,0.0,3.459063239932229e-15
7.8375,33.08,33.45214285714285,-2.666666666666651,0.0,0.0
7.9125,32.68,33.45214285714285,4.866666666666634,0.0,2.036107420020994e-15
7.987499999999999,33.41,33.45214285714285,14.733333333333652,0.0,1.0421145030752558e-14
8.0625,35.62,33.45214285714285,-18.133333333333063,0.0,3.99647916658131e-15
8.1375,32.9,33.45214285714285,-8.600000000000076,0.0,-2.6397718844242254e-15
8.212499999999999,31.61,33.45214285714285,-4.333333333333365,0.0,1.066326530612244
8.287499999999998,30.96,33.45214285714285,11.533333333333148,0.0,1.7772108843537655
8.362499999999999,32.69,33.45214285714285,16.00000000000019,9.952380952381075,2.132653061224491
8.4375,35.09,34.945,8.199999999999863,0.0,2.1326530612244894
8.5125,36.32,34.945,-9.800000000000086,0.0,2.3474489795918596
8.587499999999999,34.85,34.945,-8.86666666666674,0.0,2.016723356009081
8.662499999999998,33.52,34.945,15.333333333333096,5.322222222222138,1.1404761904761618
8.737499999999999,35.82,35.74333333333333,6.800000000000085,0.0,1.1404761904761942
8.8125,36.84,35.74333333333333,1.799999999999948,0.0,0.9503968253968293
8.8875,37.11,35.74333333333333,-24.200000000000248,0.0,0.570238095238099
8.962499999999999,33.48,35.74333333333333,17.00000000000019,0.0,0.3761904761904772
9.037499999999998,36.03,35.74333333333333,-5.666666666666596,0.0,0.7198412698412796
9.1125,35.18,35.74333333333333,7.266666666666586,3.511111111111089,0.9071428571428687
9.1875,36.27,36.27,1.2000000000000095,0.8666666666666919,1.7904761904761992
9.2625,36.45,36.400000000000006,-0.6666666666666666,0.0,2.2333333333332988
9.3375,36.35,36.400000000000006,16.866666666667232,7.955555555555737,2.2357142857142436
9.412499999999998,38.88,37.59333333333333,-1.3333333333333333,0.0,3.002380952380939
9.4875,38.68,37.59333333333333,-23.066666666666343,0.0,4.557142857142787
9.5625,35.22,37.59333333333333,27.06666666666694,11.244444444444603,5.757142857142877
9.6375,39.28,39.28,10.533333333333172,10.533333333333172,5.690476190476171
9.7125,40.86,40.86,20.86666666666737,5.73333333333352,5.49365079365085
