bin_center,raw_kdp_count,raw_kdp_frequency,reg_kdp_count,reg_kdp_frequency,kdp_lsf_count,kdp_lsf_frequency
0,2337,0.05997690234826126,9899,0.19657254060923784,0,0.0
1,36578,0.9387398947773643,39836,0.7910560387624608,48636,0.9785915492957746
3,50,0.0012832028743744385,169,0.0033559712458795026,803,0.016156941649899396
5,0,0.0,454,0.00901544938242186,261,0.005251509054325956
